timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),G_Obj_EDFA1 (dB),G_Real_EDFA1 (dB),G_Obj_EDFA3 (dB),G_Real_EDFA3 (dB),G_Obj_EDFA4 (dB),G_Real_EDFA4 (dB),Pin_EDFA3 (dBm),Pout_EDFA3 (dBm),Pin_EDFA4 (dBm),Pout_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-19T14:27:17.022348,N/A,N/A,N/A,13.5,0.0,27.6,29.76,24.6,24.93,-25.09,4.67,-16.77,8.16,Operación Normal,0,0
2025-12-19T14:27:18.335834,2.318254e-03,27.80,6.55,13.5,0.0,27.6,29.76,24.6,24.93,-25.09,4.67,-16.77,8.16,Operación Normal,0,0
2025-12-19T14:27:19.608429,N/A,N/A,N/A,13.5,0.0,27.6,29.76,24.6,24.93,-25.09,4.67,-16.77,8.16,Operación Normal,0,0
2025-12-19T14:27:20.906953,2.284031e-03,27.40,6.57,13.5,0.0,27.6,29.77,24.6,24.97,-25.1,4.67,-16.81,8.16,Operación Normal,0,0
2025-12-19T14:27:22.199496,N/A,N/A,N/A,13.5,0.0,27.6,29.76,24.6,24.95,-25.09,4.67,-16.77,8.18,Operación Normal,0,0
2025-12-19T14:27:23.526945,2.503231e-03,28.30,6.57,13.5,0.0,27.6,29.76,24.6,24.97,-25.09,4.67,-16.81,8.16,Operación Normal,0,0
2025-12-19T14:27:24.832450,N/A,N/A,N/A,13.5,0.0,27.6,29.76,24.6,24.94,-25.09,4.67,-16.77,8.17,Operación Normal,0,0
2025-12-19T14:27:26.122998,2.513380e-03,27.40,6.57,13.5,0.0,27.6,29.76,24.6,24.99,-25.09,4.67,-16.81,8.18,Operación Normal,0,0
2025-12-19T14:27:27.412547,N/A,N/A,N/A,13.5,0.0,27.6,29.77,24.6,24.94,-25.1,4.67,-16.77,8.17,Operación Normal,0,0
2025-12-19T14:27:28.709080,2.456952e-03,28.30,6.57,13.5,0.0,27.6,29.77,24.6,24.99,-25.1,4.67,-16.81,8.18,Operación Normal,0,0
2025-12-19T14:27:30.015583,N/A,N/A,N/A,13.5,0.0,27.6,29.76,24.6,24.99,-25.09,4.67,-16.81,8.18,Operación Normal,0,0
2025-12-19T14:27:31.913505,2.235036e-03,28.70,6.57,13.5,0.0,27.6,29.76,24.6,24.95,-25.09,4.67,-16.77,8.18,Operación Normal,0,0
2025-12-19T14:27:33.192085,N/A,N/A,N/A,13.5,0.0,27.6,29.77,24.6,24.95,-25.1,4.67,-16.77,8.18,Operación Normal,0,0
2025-12-19T14:27:34.495597,2.301293e-03,28.70,6.56,13.5,0.0,27.6,29.77,24.6,24.98,-25.1,4.67,-16.81,8.17,Operación Normal,0,0
2025-12-19T14:27:36.032485,N/A,N/A,N/A,13.5,0.0,27.6,29.77,24.6,24.97,-25.1,4.67,-16.81,8.16,Operación Normal,0,0
2025-12-19T14:27:37.347966,2.430013e-03,28.70,6.57,13.5,0.0,27.6,29.77,24.6,24.97,-25.1,4.67,-16.81,8.16,Operación Normal,0,0
2025-12-19T14:27:38.685405,N/A,N/A,N/A,13.5,0.0,27.6,29.77,24.6,24.97,-25.1,4.67,-16.81,8.16,Operación Normal,0,0
2025-12-19T14:27:39.995880,2.390167e-03,28.30,6.57,13.5,0.0,27.6,29.77,24.6,24.94,-25.1,4.67,-16.77,8.17,Operación Normal,0,0
2025-12-19T14:27:41.283436,N/A,N/A,N/A,13.5,0.0,27.6,29.77,24.6,24.97,-25.1,4.67,-16.81,8.16,Operación Normal,0,0
2025-12-19T14:27:42.605898,2.466167e-03,27.40,6.57,13.5,0.0,27.6,29.77,24.6,24.97,-25.1,4.67,-16.81,8.16,Operación Normal,0,0
