timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),G_Obj_EDFA1 (dB),G_Real_EDFA1 (dB),G_Obj_EDFA3 (dB),G_Real_EDFA3 (dB),G_Obj_EDFA4 (dB),G_Real_EDFA4 (dB),Pin_EDFA3 (dBm),Pout_EDFA3 (dBm),Pin_EDFA4 (dBm),Pout_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-19T14:22:58.739789,2.222166e-03,27.40,6.57,13.75,0.0,27.1,29.65,24.39,24.92,-24.94,4.71,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:01.990094,2.324190e-03,27.80,6.57,13.75,0.0,27.1,29.67,24.39,24.92,-24.94,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:05.204004,2.391319e-03,28.30,6.59,13.75,0.0,27.1,29.65,24.39,24.95,-24.94,4.71,-16.77,8.18,Operación Normal,0,0
2025-12-19T14:23:08.418402,2.389204e-03,28.30,6.59,13.75,0.0,27.1,29.67,24.39,24.92,-24.94,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:11.623828,2.461560e-03,27.40,6.59,13.75,0.0,27.1,29.67,24.39,24.92,-24.94,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:14.830247,2.514550e-03,27.40,6.57,13.75,0.0,27.1,29.67,24.39,24.92,-24.94,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:18.072608,2.378852e-03,28.30,6.57,13.75,0.0,27.1,29.67,24.39,24.95,-24.94,4.73,-16.77,8.18,Operación Normal,0,0
2025-12-19T14:23:21.283017,2.690757e-03,27.40,6.57,13.75,0.0,27.1,29.65,24.39,24.92,-24.94,4.71,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:24.499411,2.449051e-03,27.00,6.59,13.75,0.0,27.1,29.65,24.39,24.92,-24.94,4.71,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:28.457822,2.263107e-03,28.30,6.59,13.75,0.0,27.1,29.67,24.39,24.92,-24.94,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:31.700146,2.531247e-03,28.30,6.59,13.75,0.0,27.1,29.67,24.39,24.92,-24.94,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:34.908563,2.460530e-03,28.30,6.59,13.75,0.0,27.1,29.66,24.39,24.92,-24.93,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:38.113986,2.218086e-03,29.10,6.59,13.75,0.0,27.1,29.67,24.39,24.92,-24.94,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:41.339356,2.398544e-03,28.30,6.57,13.75,0.0,27.1,29.66,24.39,24.92,-24.93,4.73,-16.74,8.18,Operación Normal,0,0
2025-12-19T14:23:44.561969,2.431398e-03,28.30,6.59,13.75,0.0,27.1,29.66,24.39,24.92,-24.93,4.73,-16.74,8.18,Operación Normal,0,0
