timestamp_lectura,segundo_en_ventana,BER,OSNR,PotenciaReceptor,PotenciaEntradaEDFA3,PotenciaSalidaEDFA3,PotenciaEntradaEDFA4,PotenciaSalidaEDFA4,scenario,ventana_idx
2025-12-18T15:53:51.007,0,1.751854e-02,19.90,-3.91,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:53:52.170,1,1.751121e-02,19.70,-3.91,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:53:53.319,2,1.762170e-02,19.90,-3.9,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:53:54.471,3,1.770471e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:53:55.628,4,1.755929e-02,19.90,-3.9,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:53:56.760,5,1.754212e-02,19.70,-3.9,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:53:57.909,6,1.685274e-02,19.70,-3.9,-29.35,0.38,-25.62,-2.28,normal,0
2025-12-18T15:53:59.064,7,1.730055e-02,20.20,-3.9,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:00.214,8,1.711989e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:01.366,9,1.701876e-02,19.90,-3.9,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:02.502,10,1.744115e-02,19.70,-3.91,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:03.668,11,1.755602e-02,20.20,-3.91,-29.35,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:04.834,12,1.657433e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:05.998,13,1.718190e-02,19.90,-3.91,-29.35,0.38,-25.62,-2.28,normal,0
2025-12-18T15:54:07.152,14,1.739598e-02,20.20,-3.91,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:08.301,15,1.742373e-02,19.70,-3.9,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:09.449,16,1.756540e-02,20.20,-3.9,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:10.629,17,1.744640e-02,20.40,-3.9,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:11.805,18,1.725447e-02,19.70,-3.91,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:12.988,19,1.738278e-02,19.70,-3.91,-29.36,0.38,-25.61,-2.28,normal,0
2025-12-18T15:54:18.821,0,1.750676e-02,19.70,-3.9,-29.35,0.38,-25.6,-2.28,normal,1
2025-12-18T15:54:20.000,1,1.739140e-02,19.70,-3.9,-29.35,0.38,-25.6,-2.28,normal,1
2025-12-18T15:54:21.146,2,1.732108e-02,19.40,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:22.309,3,1.745262e-02,19.70,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:23.476,4,1.747626e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:24.609,5,1.747136e-02,20.20,-3.91,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:25.758,6,1.764618e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:26.897,7,1.744915e-02,19.90,-3.91,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:28.024,8,1.656293e-02,20.20,-3.91,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:29.169,9,1.737595e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:30.320,10,1.679342e-02,20.20,-3.91,-29.36,0.38,-25.6,-2.28,normal,1
2025-12-18T15:54:31.484,11,1.677237e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:32.649,12,1.735580e-02,19.90,-3.91,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:33.797,13,1.730957e-02,20.40,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:34.975,14,1.753713e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
2025-12-18T15:54:36.119,15,1.654309e-02,19.90,-3.9,-29.36,0.38,-25.61,-2.28,normal,1
