timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),G_Obj_EDFA1 (dB),G_Real_EDFA1 (dB),G_Obj_EDFA3 (dB),G_Real_EDFA3 (dB),G_Obj_EDFA4 (dB),G_Real_EDFA4 (dB),Pin_EDFA3 (dBm),Pout_EDFA3 (dBm),Pin_EDFA4 (dBm),Pout_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-18T16:02:31.426984,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.44,-25.2,4.71,-17.07,8.37,Operación Normal,0,0
2025-12-18T16:02:32.729500,3.983028e-03,26.60,6.74,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:34.019212,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:35.334957,2.953070e-03,27.40,6.74,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:36.640372,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:37.979313,3.034368e-03,27.40,6.74,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:39.275854,N/A,N/A,N/A,14.0,0.0,27.7,29.9,25.0,25.4,-25.19,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:40.600310,2.918381e-03,27.00,6.74,14.0,0.0,27.7,29.91,25.0,25.44,-25.2,4.71,-17.07,8.37,Operación Normal,0,0
2025-12-18T16:02:41.890893,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.44,-25.2,4.71,-17.07,8.37,Operación Normal,0,0
2025-12-18T16:02:43.183434,2.815755e-03,27.40,6.74,14.0,0.0,27.7,29.91,25.0,25.44,-25.2,4.71,-17.07,8.37,Operación Normal,0,0
2025-12-18T16:02:44.478968,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:45.781483,2.731204e-03,28.70,6.75,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:47.246564,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.44,-25.2,4.71,-17.07,8.37,Operación Normal,0,0
2025-12-18T16:02:48.549129,2.505278e-03,28.70,6.75,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:49.827886,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.45,-25.2,4.71,-17.07,8.38,Operación Normal,0,0
2025-12-18T16:02:51.138379,2.579481e-03,27.40,6.74,14.0,0.0,27.7,29.91,25.0,25.44,-25.2,4.71,-17.07,8.37,Operación Normal,0,0
2025-12-18T16:02:52.463833,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.44,-25.2,4.71,-17.07,8.37,Operación Normal,0,0
2025-12-18T16:02:53.772339,2.727804e-03,27.40,6.74,14.0,0.0,27.7,29.9,25.0,25.4,-25.19,4.71,-17.03,8.37,Operación Normal,0,0
2025-12-18T16:02:55.074854,N/A,N/A,N/A,14.0,0.0,27.7,29.91,25.0,25.4,-25.2,4.71,-17.03,8.37,Operación Normal,0,0
