timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),G_Obj_EDFA1 (dB),G_Real_EDFA1 (dB),G_Obj_EDFA3 (dB),G_Real_EDFA3 (dB),G_Obj_EDFA4 (dB),G_Real_EDFA4 (dB),Pin_EDFA3 (dBm),Pout_EDFA3 (dBm),Pin_EDFA4 (dBm),Pout_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-19T14:45:14.057910,4.153394e-03,25.20,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:16.418594,2.746126e-03,27.00,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:18.819171,2.816689e-03,27.00,6.79,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:21.178857,2.755066e-03,26.60,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:23.534554,2.760429e-03,27.80,6.77,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:25.900223,2.755651e-03,27.40,6.79,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:28.315575,2.728557e-03,27.40,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:30.704861,2.674883e-03,27.00,6.79,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:33.120783,2.781720e-03,26.60,6.79,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:35.483493,2.566140e-03,27.40,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:37.844125,2.501634e-03,26.60,6.79,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:40.212489,2.542829e-03,27.40,6.79,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:42.561204,2.510983e-03,28.70,6.77,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:45.365701,2.450114e-03,28.70,6.79,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:47.731371,2.417484e-03,27.80,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:50.092055,2.433707e-03,27.80,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:52.464706,2.706238e-03,27.40,6.79,13.8,0.0,27.8,30.04,24.7,25.06,-25.23,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:54.996932,2.571567e-03,27.00,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:45:57.353625,2.344845e-03,28.30,6.79,13.8,0.0,27.8,30.03,24.7,25.06,-25.22,4.81,-16.67,8.39,Operación Normal,0,0
2025-12-19T14:45:59.754203,2.403038e-03,27.80,6.79,13.8,0.0,27.8,30.03,24.7,25.01,-25.22,4.81,-16.62,8.39,Operación Normal,0,0
2025-12-19T14:46:07.344894,2.614573e-03,28.70,7.11,14.0,0.0,28.0,30.08,24.7,24.97,-24.97,5.11,-16.27,8.7,Operación Normal,1,0
2025-12-19T14:46:09.694463,2.600103e-03,27.40,7.11,14.0,0.0,28.0,30.09,24.7,25.04,-24.96,5.13,-16.34,8.7,Operación Normal,1,0
2025-12-19T14:46:12.035201,2.697316e-03,27.40,7.11,14.0,0.0,28.0,30.09,24.7,25.04,-24.96,5.13,-16.34,8.7,Operación Normal,1,0
2025-12-19T14:46:14.370951,2.589446e-03,27.00,7.11,14.0,0.0,28.0,30.09,24.7,25.04,-24.96,5.13,-16.34,8.7,Operación Normal,1,0
2025-12-19T14:46:16.742606,2.706518e-03,27.80,7.09,14.0,0.0,28.0,30.09,24.7,24.97,-24.96,5.13,-16.27,8.7,Operación Normal,1,0
2025-12-19T14:46:19.107304,2.640720e-03,28.30,7.09,14.0,0.0,28.0,30.1,24.7,25.04,-24.97,5.13,-16.34,8.7,Operación Normal,1,0
2025-12-19T14:46:21.494890,2.569319e-03,27.40,7.11,14.0,0.0,28.0,30.1,24.7,24.97,-24.97,5.13,-16.27,8.7,Operación Normal,1,0
2025-12-19T14:46:23.839617,2.639333e-03,28.30,7.11,14.0,0.0,28.0,30.1,24.7,24.97,-24.97,5.13,-16.27,8.7,Operación Normal,1,0
2025-12-19T14:46:26.221244,2.598407e-03,27.00,7.11,14.0,0.0,28.0,30.1,24.7,24.97,-24.97,5.13,-16.27,8.7,Operación Normal,1,0
2025-12-19T14:46:28.551011,2.658425e-03,27.80,7.11,14.0,0.0,28.0,30.09,24.7,25.04,-24.96,5.13,-16.34,8.7,Operación Normal,1,0
2025-12-19T14:46:30.904714,2.615704e-03,27.00,7.11,14.0,0.0,28.0,30.1,24.7,25.04,-24.97,5.13,-16.34,8.7,Operación Normal,1,0
2025-12-19T14:46:33.283350,2.669325e-03,27.80,7.11,14.0,0.0,28.0,30.1,24.7,25.04,-24.97,5.13,-16.34,8.7,Operación Normal,1,0
2025-12-19T14:46:35.620097,2.717094e-03,27.00,7.11,14.0,0.0,28.0,30.1,24.7,25.04,-24.97,5.13,-16.34,8.7,Operación Normal,1,0
