timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),G_Obj_EDFA1 (dB),G_Real_EDFA1 (dB),G_Obj_EDFA3 (dB),G_Real_EDFA3 (dB),G_Obj_EDFA4 (dB),G_Real_EDFA4 (dB),Pin_EDFA3 (dBm),Pout_EDFA3 (dBm),Pin_EDFA4 (dBm),Pout_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-19T12:04:05.640096,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:07.016642,4.048515e-03,25.90,6.76,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:08.377020,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:09.704469,3.217751e-03,26.30,6.76,13.5,0.0,27.9,30.06,24.6,24.91,-25.14,4.92,-16.5,8.41,Operación Normal,0,0
2025-12-19T12:04:11.049881,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.96,-25.14,4.92,-16.57,8.39,Operación Normal,0,0
2025-12-19T12:04:12.433185,3.202668e-03,27.40,6.77,13.5,0.0,27.9,30.07,24.6,24.92,-25.15,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:13.760667,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:15.273619,3.031516e-03,27.80,6.77,13.5,0.0,27.9,30.06,24.6,24.96,-25.14,4.92,-16.57,8.39,Operación Normal,0,0
2025-12-19T12:04:16.597078,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.96,-25.14,4.92,-16.57,8.39,Operación Normal,0,0
2025-12-19T12:04:17.925524,2.880997e-03,27.00,6.77,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:19.254053,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:20.581009,2.904465e-03,27.00,6.76,13.5,0.0,27.9,30.06,24.6,24.94,-25.14,4.92,-16.53,8.41,Operación Normal,0,0
2025-12-19T12:04:21.945467,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:23.289870,2.703936e-03,26.30,6.76,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:24.617319,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:25.963261,2.831925e-03,26.60,6.76,13.5,0.0,27.9,30.05,24.6,24.92,-25.13,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:27.306666,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.91,-25.14,4.92,-16.5,8.41,Operación Normal,0,0
2025-12-19T12:04:28.666302,2.866398e-03,27.80,6.77,13.5,0.0,27.9,30.06,24.6,24.92,-25.14,4.92,-16.53,8.39,Operación Normal,0,0
2025-12-19T12:04:30.001831,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.89,-25.14,4.92,-16.5,8.39,Operación Normal,0,0
2025-12-19T12:04:31.372164,2.813495e-03,27.80,6.77,13.5,0.0,27.9,30.06,24.6,24.94,-25.14,4.92,-16.53,8.41,Operación Normal,0,0
2025-12-19T12:04:32.702637,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.94,-25.14,4.92,-16.53,8.41,Operación Normal,0,0
2025-12-19T12:04:34.054026,2.872530e-03,27.40,6.77,13.5,0.0,27.9,30.06,24.6,24.95,-25.14,4.92,-16.57,8.38,Operación Normal,0,0
2025-12-19T12:04:35.383470,N/A,N/A,N/A,13.5,0.0,27.9,30.06,24.6,24.91,-25.14,4.92,-16.5,8.41,Operación Normal,0,0
2025-12-19T12:04:36.702939,2.694585e-03,27.40,6.76,13.5,0.0,27.9,30.06,24.6,24.91,-25.14,4.92,-16.5,8.41,Operación Normal,0,0
