timestamp_lectura,BER,OSNR (dB),Potencia_Receptor (dBm),G_Obj_EDFA1 (dB),G_Real_EDFA1 (dB),G_Obj_EDFA3 (dB),G_Real_EDFA3 (dB),G_Obj_EDFA4 (dB),G_Real_EDFA4 (dB),Pin_EDFA3 (dBm),Pout_EDFA3 (dBm),Pin_EDFA4 (dBm),Pout_EDFA4 (dBm),scenario,ventana_idx,Id_Falla
2025-12-19T15:02:09.091957,2.594760e-03,28.30,7.23,13.6,0.0,28.0,30.36,25.0,25.42,-25.53,4.83,-16.62,8.8,Operación Normal,0,0
2025-12-19T15:02:11.598224,2.551813e-03,27.40,7.21,13.6,0.0,28.0,30.36,25.0,25.46,-25.53,4.83,-16.67,8.79,Operación Normal,0,0
2025-12-19T15:02:13.950928,2.536298e-03,27.40,7.21,13.6,0.0,28.0,30.36,25.0,25.41,-25.53,4.83,-16.6,8.81,Operación Normal,0,0
2025-12-19T15:02:16.294658,2.512557e-03,27.40,7.21,13.6,0.0,28.0,30.38,25.0,25.46,-25.53,4.85,-16.67,8.79,Operación Normal,0,0
2025-12-19T15:02:18.632403,2.631899e-03,27.80,7.21,13.6,0.0,28.0,30.36,25.0,25.46,-25.53,4.83,-16.67,8.79,Operación Normal,0,0
2025-12-19T15:02:20.949204,2.629875e-03,28.30,7.21,13.6,0.0,28.0,30.36,25.0,25.46,-25.53,4.83,-16.67,8.79,Operación Normal,0,0
2025-12-19T15:02:23.268998,2.661242e-03,27.80,7.21,13.6,0.0,28.0,30.38,25.0,25.46,-25.53,4.85,-16.67,8.79,Operación Normal,0,0
2025-12-19T15:02:25.597767,2.602516e-03,27.80,7.21,13.6,0.0,28.0,30.38,25.0,25.42,-25.53,4.85,-16.62,8.8,Operación Normal,0,0
2025-12-19T15:02:27.928531,2.545304e-03,28.30,7.23,13.6,0.0,28.0,30.38,25.0,25.41,-25.53,4.85,-16.6,8.81,Operación Normal,0,0
2025-12-19T15:02:30.242340,2.690699e-03,28.70,7.21,13.6,0.0,28.0,30.36,25.0,25.46,-25.53,4.83,-16.67,8.79,Operación Normal,0,0
2025-12-19T15:02:32.569114,2.831364e-03,27.40,7.21,13.6,0.0,28.0,30.36,25.0,25.42,-25.53,4.83,-16.62,8.8,Operación Normal,0,0
2025-12-19T15:02:34.871954,2.726463e-03,27.00,7.23,13.6,0.0,28.0,30.38,25.0,25.42,-25.53,4.85,-16.62,8.8,Operación Normal,0,0
2025-12-19T15:02:37.197730,2.798776e-03,27.40,7.23,13.6,0.0,28.0,30.38,25.0,25.46,-25.53,4.85,-16.67,8.79,Operación Normal,0,0
2025-12-19T15:02:39.505556,2.835667e-03,27.40,7.21,13.6,0.0,28.0,30.38,25.0,25.48,-25.53,4.85,-16.67,8.81,Operación Normal,0,0
2025-12-19T15:02:41.821360,2.780967e-03,27.00,7.21,13.6,0.0,28.0,30.36,25.0,25.48,-25.53,4.83,-16.67,8.81,Operación Normal,0,0
2025-12-19T15:02:44.164092,2.708673e-03,27.80,7.21,13.6,0.0,28.0,30.36,25.0,25.48,-25.53,4.83,-16.67,8.81,Operación Normal,0,0
2025-12-19T15:02:46.480893,2.670862e-03,27.80,7.21,13.6,0.0,28.0,30.36,25.0,25.39,-25.53,4.83,-16.6,8.79,Operación Normal,0,0
2025-12-19T15:02:48.828651,2.760440e-03,27.80,7.21,13.6,0.0,28.0,30.36,25.0,25.46,-25.53,4.83,-16.67,8.79,Operación Normal,0,0
2025-12-19T15:02:51.198271,2.735734e-03,26.60,7.23,13.6,0.0,28.0,30.36,25.0,25.44,-25.53,4.83,-16.62,8.82,Operación Normal,0,0
2025-12-19T15:02:53.523051,2.675918e-03,27.00,7.21,13.6,0.0,28.0,30.36,25.0,25.48,-25.53,4.83,-16.67,8.81,Operación Normal,0,0
